('09/02/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/02/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/15/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/06/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/30/1997', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/18/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/15/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/25/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/30/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/23/1997', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/15/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/26/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/15/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/04/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/19/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/13/1979', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/31/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/27/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/30/1995', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/08/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/01/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/25/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/24/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/26/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/10/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/12/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/29/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/05/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/09/1986', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/29/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/19/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/11/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/27/1972', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/25/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/01/1987', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/22/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/27/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/11/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/13/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/31/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/18/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/27/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/01/1993', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/22/1994', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/10/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/01/1983', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/24/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/15/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/02/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/19/1995', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/07/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/30/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/24/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/08/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/12/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/15/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/23/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/04/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/06/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/31/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/30/1996', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/15/1994', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/11/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/12/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/05/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/17/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/11/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/02/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/26/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/08/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/01/1994', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/01/1986', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/21/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/08/1997', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/26/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/07/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/09/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/07/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/22/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/23/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/17/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/20/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/08/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/16/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/21/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/23/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/19/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/01/1980', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/05/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/21/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/05/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/22/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/31/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/13/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/31/1994', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/02/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/10/1994', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/14/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/15/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/10/1912', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/02/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/07/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/30/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/06/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/15/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/20/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/31/1994', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/03/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/28/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/30/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/25/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/18/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/25/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/30/1996', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/17/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/19/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/13/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/16/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/20/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/07/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/01/1995', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/15/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/10/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/09/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/30/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/30/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/30/1997', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/30/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/28/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/14/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/23/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/03/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/17/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/12/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/07/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/14/1991', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/22/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/16/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/02/1995', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/06/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/23/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/17/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/22/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/03/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/24/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/14/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/05/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/09/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/10/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/22/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/06/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/10/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/18/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/17/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/01/1987', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/15/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/10/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/24/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/19/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/01/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/25/1997', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/10/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/13/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/04/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/30/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/15/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/30/1996', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/10/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/12/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/29/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/15/1986', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/19/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/28/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/26/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/30/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/06/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/10/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/11/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/20/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/28/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/28/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/20/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/28/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/24/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/19/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/29/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/12/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/26/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/09/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/19/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/13/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/24/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/01/1996', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/02/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/21/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/18/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/19/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/18/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/07/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/16/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/12/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/14/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/23/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/06/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/16/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/21/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/06/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/01/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/01/1990', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/26/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/23/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/18/1980', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/15/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/03/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/30/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/30/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/15/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/19/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/16/1985', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/04/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/29/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/06/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/31/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/08/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/29/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/05/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/21/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/04/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/01/1994', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/11/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/18/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/25/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/12/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/19/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/18/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/13/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/31/1995', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/07/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/25/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/02/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/11/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/07/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/27/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/17/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/20/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/12/1972', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/27/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/30/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/07/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/19/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/29/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/01/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/16/1997', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/13/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/16/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/09/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/18/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/11/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/31/1991', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/08/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/23/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/16/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/01/1997', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/14/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/18/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/16/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/25/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/04/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/01/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/04/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/02/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/01/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/15/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/03/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/03/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/06/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/14/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/10/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/09/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/11/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/19/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/06/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/08/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/30/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/20/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/01/1995', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/08/1980', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/14/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/15/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/15/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/16/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/26/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/27/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/02/1972', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/01/1992', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/28/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/30/1973', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/11/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/24/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/02/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/07/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/19/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/29/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/15/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/25/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/18/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/28/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/07/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/12/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/06/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/31/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/31/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/08/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/12/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/04/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/22/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/30/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/31/1992', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/22/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/13/1995', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/05/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/12/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/07/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/01/1996', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/31/1986', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/06/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/31/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/31/1996', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/25/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/03/2000', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/17/1989', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/07/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/18/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/29/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/25/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/05/1991', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/02/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/06/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('06/01/1982', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/03/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/18/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/10/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/21/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/27/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/02/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/28/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/01/1993', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/27/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/03/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/18/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/12/1995', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/30/1996', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/17/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/08/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/16/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/20/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/02/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/21/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/18/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/17/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
