('05/26/1993', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/02/1913', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/22/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/11/1990', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/29/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/29/1992', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/27/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/16/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/09/1977', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/14/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/29/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/08/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/09/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/24/1960', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/12/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/17/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/14/1962', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/28/1960', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/15/1968', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/29/1991', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/17/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/26/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/22/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/09/1912', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/02/1920', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/29/1991', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/12/1990', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/12/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/21/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/06/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/02/1989', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/21/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/25/1015', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/23/1967', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/01/1983', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/31/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/08/1994', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/10/1986', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/08/1015', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/25/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/21/1987', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/13/1990', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/20/1989', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/19/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/23/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/02/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/20/1966', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/21/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/01/1980', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/08/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/10/1916', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/23/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/13/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/19/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/27/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/29/1994', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/26/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/26/1994', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/31/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/11/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/03/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/17/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/19/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/05/1984', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/03/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/17/1986', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/24/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/14/1967', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/10/1994', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/07/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/28/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/30/1988', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/14/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/07/1989', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/02/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/15/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/28/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/26/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/10/1966', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/13/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/12/1959', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/05/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/29/1994', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/02/1990', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/23/1913', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/30/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/08/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/06/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/14/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/10/1992', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/02/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/19/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/25/1973', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/30/1016', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/02/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/20/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/28/1977', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/29/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/10/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/02/1908', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/05/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/28/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/15/1991', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/16/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/29/1960', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/18/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/16/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/28/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/06/1914', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/10/1955', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/08/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/06/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/10/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/01/1976', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/07/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/23/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/29/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/02/1987', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/07/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/12/1950', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/01/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/23/1915', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/10/1016', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/02/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/19/1955', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/30/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/30/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/03/1979', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/30/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/17/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/06/1994', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/30/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/30/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/11/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/16/1994', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/31/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/05/1950', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/21/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/11/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/18/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/28/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/23/1913', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/31/1981', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/02/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/16/1992', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/28/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/12/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/20/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/04/1919', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/05/1954', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/20/1979', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/15/1992', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/20/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/14/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/14/1992', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/06/1966', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/19/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/05/1967', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/14/1982', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/28/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/01/1993', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/10/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/04/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/26/1950', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/19/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/14/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/20/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/15/1974', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/07/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/06/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/01/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/31/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/02/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/17/1993', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/26/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/17/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/21/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/24/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/14/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/01/1985', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/29/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/01/1987', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/03/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/29/1969', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/15/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/29/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/16/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/10/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/24/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/09/1990', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/30/1980', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/01/1964', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/25/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/15/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/08/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/27/1911', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/05/1977', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/13/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/05/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/06/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/31/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/25/1967', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/16/1971', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/24/1993', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/16/1976', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/07/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/05/1991', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/15/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/06/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/15/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/02/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/24/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/04/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/11/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/10/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/21/1989', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/21/1989', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/01/1991', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/26/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/06/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/25/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/05/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/30/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/14/1968', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/05/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/02/1990', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/24/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/01/1982', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/22/1980', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/05/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/01/1993', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/16/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/19/1967', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/25/1975', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/06/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/15/1987', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/08/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/08/1961', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/10/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/13/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/12/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/23/1910', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/06/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/19/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/15/1989', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/21/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/17/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/26/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/13/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/24/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/19/1026', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/10/1975', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/08/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/25/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/20/1966', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/02/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/23/1992', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/20/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/13/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/07/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/31/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/11/1993', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/31/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/10/1986', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/18/1980', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/19/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/08/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/24/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/19/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/18/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/30/1970', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/12/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/14/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/31/1967', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/04/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/03/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/06/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/02/1920', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/11/1993', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/26/1983', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/23/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/01/1948', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/05/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/23/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/01/1979', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/11/1968', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/16/1966', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/23/1979', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/31/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/12/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/03/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/24/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/22/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/28/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/21/1994', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/08/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/28/1973', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/30/1980', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/03/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/27/1945', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/05/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/17/1972', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/12/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/25/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/24/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/12/1954', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/19/1987', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/06/1973', 'DATETIME', 'Complaint Date', 'VALID', 1)
